id,sku,name,short_description,description,price,section,url,image
60510640,605.106.40,JÄRVFJÄLLET,Office chair with armrests,"10-year Warranty. Read about the terms in the warranty brochure. The adjustable and lockable tilt function increases stability and control in different sitting positions. The mesh material of the backrest lets air through to your back during long sitting periods. Your back gets the support it needs because the seat depth can be adjusted and the chair has built-in lumbar support. You can adjust the headrest and the lumbar support to suit you and your needs. The safety casters have a pressure-sensitive brake mechanism that keeps the chair in place when you stand up, and releases automatically when you sit down. The adjustable armrests of this swivel chair can help take the load off your shoulders and neck to reduce tension, strain and pain. The leather ages beautifully and acquires a nice patina over time. This chair has been tested for office use and meets the requirements for durability and stability set forth in the following standards: EN 1335 and ANSI/BIFMA x5.1. May be used with KOLON floor protector.",279.0,Chairs,https://www.ikea.com/us/en/p/jaervfjaellet-office-chair-with-armrests-60510640/,https://www.ikea.com/us/en/images/products/jaervfjaellet-office-chair-with-armrests-glose-black__1009906_pe827773_s5.jpg?f=s
90467065,904.670.65,DRÖNA,"Box - black 9 ¾x13 ¾x9 ¾ ""","A good size for various media and clothing accessories. Ideal in BILLY bookcase (depth 11"") and BESTÅ storage (depth 15¾""). The box is easy to pull out regardless of where you place it since it has handles on all sides.",2.99,Storage boxes & baskets,https://www.ikea.com/us/en/p/droena-box-black-90467065/,https://www.ikea.com/us/en/images/products/droena-box-black__0913728_pe783696_s5.jpg?f=s
60504677,605.046.77,BESTIGA,"Candlestick, set of 3 - black","Nice as a table decoration, for example. Includes: 1 candlestick (Ø3⅞"", H12""), 1 candlestick (Ø3"", H10⅞"") and 1 candlestick (Ø3"", H8¼""). Do not allow the candle to burn out completely.",24.99,Candle holders & candles,https://www.ikea.com/us/en/p/bestiga-candlestick-set-of-3-black-60504677/,https://www.ikea.com/us/en/images/products/bestiga-candlestick-set-of-3-black__0964716_pe809148_s5.jpg?f=s
340047,003.400.47,EKET,"Suspension rail 13 3/4 """,The suspension rail works as a reinforcement and makes it both easier and safer to mount EKET to the wall. You will need a suspension rail to mount EKET cabinets on the wall.,5.0,"Shelving units, bookcases & storage options",https://www.ikea.com/us/en/p/eket-suspension-rail-00340047/,https://www.ikea.com/us/en/images/products/eket-suspension-rail__0473519_pe614593_s5.jpg?f=s
241815,002.418.15,DRUVFLÄDER,"Hanging planter - water hyacinth/gray 5 ½ """,Handmade by a skilled craftsperson. Use the plant pot hanger to save floor space and create inspiring vertical horticulture. A plastic inner pot makes the plant pot waterproof. Recommended for indoor use only.,8.0,Flower pots & stands,https://www.ikea.com/us/en/p/druvflaeder-hanging-planter-water-hyacinth-gray-00241815/,https://www.ikea.com/us/en/images/products/druvflaeder-hanging-planter-water-hyacinth-gray__0190564_pe344007_s5.jpg?f=s
90484277,904.842.77,GULLIGAST,Baby gym,"In this baby gym, your child can lie on a soft mat, look at their reflection and play with three animals and two colorful flowers. The soft figures can also be detached if your baby wants to hug and touch them. Some of the objects hanging in the baby gym make various noises. The red flower rattles when touched, the rabbit squeaks when its stomach is pressed and touching the mouse’s ears makes the rustling sound of a candy wrapper. The toys in the GULLIGAST collection help your baby develop their senses and discover themselves and the world around them. A perfect gift for a new-born baby and new parents. For the safety of your child, never use this product in a crib. Recommended for all ages. Reaching out for toys stimulates the baby's development of hand-eye coordination. Playing with different colors and patterns improves the child's ability to understand their surroundings. Movement and strong contrast stimulate the baby's vision and curiosity. The mat and soft toys can withstand both curious fingers and wet kisses – and can be machine washed, 100°F/40°C. Perfectly matches other items in the GULLIGAST collection.",39.99,Baby,https://www.ikea.com/us/en/p/gulligast-baby-gym-90484277/,https://www.ikea.com/us/en/images/products/gulligast-baby-gym-multicolor__0923194_pe788312_s5.jpg?f=s
30292785,302.927.85,LURÖY,Slatted bed base Full/Double,"16 layer-glued slats adjust to your body weight and increase the suppleness of the mattress. 25-year Limited Warranty. Read about the terms in the Limited Warranty brochure. Fits a Full/Double size bed frame. This slatted bed base is to be used with an IKEA bed frame. If used with another bed frame, please check construction.",30.0,Bed slats,https://www.ikea.com/us/en/p/luroey-slatted-bed-base-30292785/,https://www.ikea.com/us/en/images/products/luroey-slatted-bed-base__0268303_pe406267_s5.jpg?f=s
80045448,800.454.48,KNYCK,Napkin holder - black,"Metal ball keeps napkins in place. Metal ball keeps napkins in place. Suitable for napkins in sizes 13x13"" and 15x15"".",4.99,Napkins & napkin holders,https://www.ikea.com/us/en/p/knyck-napkin-holder-black-80045448/,https://www.ikea.com/us/en/images/products/knyck-napkin-holder-black__23187_pe088993_s5.jpg?f=s
40154401,401.544.01,JUBLA,"Unscented candle - white 13 ¾ ""","The candle burns with a clear and steady flame because it is made of 100% stearin. Stearin ensures that the candle will not bend, even if it stands in a warm or sunny room. Never leave a burning candle unattended. Do not burn candles near any flammable materials.",9.99,Candle holders & candles,https://www.ikea.com/us/en/p/jubla-unscented-candle-white-40154401/,https://www.ikea.com/us/en/images/products/jubla-unscented-candle-white__0638474_pe698969_s5.jpg?f=s
60257257,602.572.57,KOMPLEMENT,"Shoe shelf - white 19 5/8x13 3/4 ""","10-year Limited Warranty. Read about the terms in the Limited Warranty brochure. Your shoes stay in place and dirt is prevented from falling onto the floor thanks to the contoured edge at the front of the shelf. It’s easy to remove and clean the shoe shelf since it rests on the shelf supports. No tools or unscrewing needed! The shoe shelf is of metal and withstands all the dirt and moisture that insists on coming home with you and your shoes when you’ve been outdoors. Solid bottom prevents any dirt from falling outside the shelf. The powder-coated steel surface is durable and easy to clean. The shoe shelf holds 2 pairs of shoes. Available in several widths. The recommended maximum weight applies when the weight load is evenly distributed across the surface. Fits 13¾"" deep frames. Fits only PAX wardrobe frame 20x14"", see “Product size” for all exact product dimensions.",15.0,Storage solution systems,https://www.ikea.com/us/en/p/komplement-shoe-shelf-white-60257257/,https://www.ikea.com/us/en/images/products/komplement-shoe-shelf-white__0238461_pe377975_s5.jpg?f=s
